Date,Hora,Liga,Home,Away,Placar FT,Winrate,Profit_HA
23.09.2023,12:00:00,Vysheyshaya Liga,Neman Grodno,Dinamo Brest,3x1,1,"0,5"
23.09.2023,12:00:00,FNL,Akron,Neftekhimik,0x0,0,"-0,5"
23.09.2023,13:30:00,Prim B Metro,San Miguel,Colegiales,2x2,0,"-0,5"
23.09.2023,15:00:00,Prim B Nacional,Agropecuario,Flandria,3x0,1,"0,5"
23.09.2023,15:35:00,Prim B Nacional,Temperley,Patronato,3x1,1,"0,5"
23.09.2023,16:00:00,Segunda División,Deportes Limache,Deportes Valdivia,4x1,1,"0,5"
23.09.2023,16:10:00,Prim B Nacional,Chacarita Juniors,Quilmes,2x2,0,"-0,5"
23.09.2023,17:00:00,Primera División,Deportivo Binacional,Academia Cantolao,1x0,1,"0,5"
23.09.2023,17:30:00,Primera División,Colo-Colo,Cobresal,6x0,1,"0,5"
23.09.2023,18:00:00,Prim B Nacional,San Martín Tucumán,Club Atlético Güemes,1x1,0,"-0,5"
23.09.2023,19:00:00,Categoria Primera B,Llaneros,Real Santander,2x0,1,"0,5"
24.09.2023,01:00:00,J2 League,Shimizu S-Pulse,Ventforet Kofu,0x0,0,"-0,5"
24.09.2023,02:00:00,J3 League,Kamatamare Sanuki,YSCC,0x1,0,-1
24.09.2023,08:00:00,Superettan,Utsikten,Trelleborg,2x3,0,-1
24.09.2023,09:00:00,Kazakhstan Premier League,Tobol,Zhetysu,1x2,0,-1
24.09.2023,10:00:00,First Division,KFUM,Mjøndalen,1x0,1,"0,5"
24.09.2023,10:00:00,First Division,Start,Moss,0x0,0,"-0,5"
24.09.2023,10:00:00,Kazakhstan Premier League,Ordabasy,Astana,1x2,0,-1
24.09.2023,11:55:00,A Lyga,Žalgiris,Kauno Žalgiris,0x2,0,-1
24.09.2023,12:00:00,Eliteserien,Lillestrøm,Rosenborg,3x0,1,"0,5"
24.09.2023,12:00:00,Segunda División,Lautaro de Buin,General Velásquez,0x2,0,-1
24.09.2023,14:15:00,Eliteserien,Brann,Tromsø,2x1,1,"0,5"
24.09.2023,15:00:00,Primera División,ADT,Alianza Atlético,1x0,1,"0,5"
24.09.2023,17:30:00,Salvadoran Primera División,Firpo,Municipal Limeño,1x1,0,"-0,5"
24.09.2023,18:00:00,Prim B Nacional,Estudiantes Río Cuarto,Defensores de Belgrano,1x0,1,"0,5"
24.09.2023,18:00:00,Primera División FPD,Puntarenas,Pérez Zeledón,2x0,1,"0,5"
24.09.2023,20:10:00,Categoria Primera A,Santa Fe,Deportivo Pereira,1x0,1,"0,5"
24.09.2023,21:00:00,Ascenso MX,Tapatío,Tepatitlán de Morelos,2x2,0,"-0,5"
25.09.2023,15:45:00,Premier Division,Bohemians,Shelbourne,1x1,0,"-0,5"
25.09.2023,15:45:00,Premier Division,St Patrick's Athl.,Drogheda United,1x2,0,-1
25.09.2023,18:00:00,Categoria Primera B,Cúcuta Deportivo,Patriotas Boyacá,4x3,1,"0,5"
25.09.2023,21:00:00,Serie B,Novorizontino,ABC,2x1,1,"0,5"
26.09.2023,13:30:00,First League,Cherno More,Botev Plovdiv,1x0,1,"0,5"
26.09.2023,15:45:00,National League,Bromley,Eastleigh,1x0,1,"0,5"
26.09.2023,15:45:00,National League,Ebbsfleet United,Dorking Wanderers,0x1,0,-1
26.09.2023,15:45:00,National League,Hartlepool United,Solihull Moors,0x2,0,-1
26.09.2023,15:45:00,Southern League Premier Central,Needham Market,St Ives Town,6x1,1,"0,5"
26.09.2023,22:05:00,Liga MX,Guadalajara,Mazatlán,1x3,0,-1
26.09.2023,22:05:00,Ascenso MX,CA La Paz,Tlaxcala,1x0,1,"0,5"
29.09.2023,07:00:00,J1 League,Yokohama F. Marinos,Vissel Kobe,0x2,0,-1
29.09.2023,07:30:00,J1 League,Urawa Reds,Yokohama,1x1,0,"-0,5"
29.09.2023,08:35:00,Chinese Super League,Shandong Luneng,Wuhan Three Towns,2x1,1,"0,5"
29.09.2023,12:00:00,Armenian Premier League,Pyunik,Alashkert,3x1,1,"0,5"
29.09.2023,13:30:00,2. Bundesliga,Hamburger SV,Fortuna Düsseldorf,1x0,1,"0,5"
29.09.2023,15:45:00,Premier Division,Shamrock Rovers,Shelbourne,1x0,1,"0,5"
29.09.2023,16:00:00,Segunda División,Leganés,Racing Santander,2x1,1,"0,5"
29.09.2023,21:30:00,Serie B,Vitória,Tombense,1x0,1,"0,5"
30.09.2023,08:35:00,Chinese Super League,Shanghai Shenhua,Qingdao Jonoon,1x0,1,"0,5"
30.09.2023,09:30:00,NB I,Paksi SE,Mezőkövesd-Zsóry,2x1,1,"0,5"
30.09.2023,10:00:00,Allsvenskan,Djurgården,Halmstad,1x0,1,"0,5"
30.09.2023,13:00:00,Super Liga,Trenčín,Dukla Banská Bystrica,1x0,1,"0,5"
30.09.2023,13:00:00,First Division,Aris,Apollon,0x1,0,-1
30.09.2023,13:15:00,Welsh Premier League,Connah's Quay,Penybont,4x2,1,"0,5"
30.09.2023,14:00:00,Israeli Premier League,Hapoel Be'er Sheva,Hapoel Katamon,3x0,1,"0,5"
30.09.2023,14:30:00,NB I,Debrecen,Újpest,1x2,0,-1
30.09.2023,15:00:00,Professional League,Al Ahli,Al Ittifaq,0x0,0,"-0,5"
30.09.2023,16:30:00,Primera División,Academia Puerto Cabello,Estudiantes Mérida,1x0,1,"0,5"
30.09.2023,17:30:00,Primera División,Huachipato,Copiapó,1x0,1,"0,5"
30.09.2023,21:00:00,Categoria Primera A,Rionegro Águilas,Deportivo Pasto,3x0,1,"0,5"
01.10.2023,10:00:00,First Division,Fredrikstad,Raufoss,3x0,1,"0,5"
01.10.2023,10:00:00,Prva Liga,Semendrija 1924,Novi Sad,1x0,1,"0,5"
01.10.2023,12:00:00,Primera B,Antofagasta,Puerto Montt,1x1,0,"-0,5"
01.10.2023,12:00:00,NB II,Vasas,Csákvári TK,1x1,0,"-0,5"
01.10.2023,13:00:00,Süper Lig,Adana Demirspor,Alanyaspor,4x0,1,"0,5"
01.10.2023,13:30:00,Pro League,Club Brugge,Sint-Truiden,1x1,0,"-0,5"
01.10.2023,15:00:00,Primera División,Colo-Colo,Universidad Católica,2x1,1,"0,5"
01.10.2023,15:00:00,Liga I,CFR Cluj,U Craiova 1948,2x0,1,"0,5"
01.10.2023,15:45:00,Serie B,Vila Nova,Chapecoense,0x0,0,"-0,5"
02.10.2023,08:30:00,Erovnuli Liga,Samgurali,Gagra,2x2,0,"-0,5"
02.10.2023,15:00:00,Liga I,FCSB,Universitatea Cluj,2x2,0,"-0,5"
02.10.2023,20:00:00,Serie A,Botafogo,Goiás,1x1,0,"-0,5"
02.10.2023,20:30:00,Division Profesional,Olimpia,Resistencia,0x0,0,"-0,5"
02.10.2023,22:30:00,Primera División,Universitario,UTC Cajamarca,3x0,1,"0,5"
03.10.2023,15:45:00,EFL League One,Portsmouth,Wycombe Wanderers,2x1,1,"0,5"
03.10.2023,15:45:00,National League,Barnet,Fylde,2x1,1,"0,5"
03.10.2023,15:45:00,National League,Chesterfield,Bromley,2x0,1,"0,5"
04.10.2023,14:00:00,3. Liga,Dynamo Dresden,Hallescher FC,2x1,1,"0,5"
04.10.2023,16:30:00,Botola Pro,FAR Rabat,RSB Berkane,0x0,0,"-0,5"
05.10.2023,14:00:00,Liga I,CFR Cluj,Sepsi,3x0,1,"0,5"
06.10.2023,11:00:00,Premyer Liqası,Zira,Turan,2x1,1,"0,5"
06.10.2023,14:00:00,Superliga,Silkeborg,Lyngby,5x0,1,"0,5"
06.10.2023,14:00:00,1. Lig,Kocaelispor,BB Erzurumspor,1x1,0,"-0,5"
06.10.2023,15:00:00,Eerste Divisie,Roda JC,AZ II,3x1,1,"0,5"
06.10.2023,15:45:00,NIFL Premiership,Linfield,Glentoran,2x0,1,"0,5"
07.10.2023,09:30:00,2. Liga,Grazer AK,Schwarz-Weiß Bregenz,1x0,1,"0,5"
07.10.2023,10:00:00,Serie A,Inter Milan,Bologna,2x2,0,"-0,5"
07.10.2023,11:00:00,EFL League One,Portsmouth,Port Vale,2x0,1,"0,5"
07.10.2023,11:00:00,Championship,Ipswich Town,Preston North End,4x2,1,"0,5"
07.10.2023,12:30:00,PrvaLiga,Celje,Bravo,2x1,1,"0,5"
07.10.2023,14:15:00,First League,Cherno More,Lokomotiv Plovdiv,2x2,0,"-0,5"
07.10.2023,16:00:00,Prim B Nacional,Agropecuario,Gimnasia Mendoza,0x0,0,"-0,5"
07.10.2023,20:00:00,Liga MX,Monterrey,Juárez,3x1,1,"0,5"
08.10.2023,02:00:00,J2 League,Machida Zelvia,Ventforet Kofu,3x3,0,"-0,5"
08.10.2023,03:00:00,K League 1,Ulsan,Incheon United,0x0,0,"-0,5"
08.10.2023,09:30:00,Bundesliga,LASK Linz,Rheindorf Altach,1x0,1,"0,5"
08.10.2023,15:00:00,Liga MX,Toluca,Querétaro,3x1,1,"0,5"
08.10.2023,16:45:00,Primera División,River Plate,Talleres Córdoba,1x0,1,"0,5"
09.10.2023,10:10:00,Division One,Dibba Al Hisn,Al Jazira Al Hamra,2x1,1,"0,5"
09.10.2023,21:00:00,Primera Categoría Serie A,Libertad,Guayaquil City FC,1x0,1,"0,5"
11.10.2023,16:00:00,National,Villefranche,Chasselay MDA,2x1,1,"0,5"
14.10.2023,12:00:00,Botola 2,USM Oujda,Ittifaq Marrakech,1x0,1,"0,5"
14.10.2023,22:20:00,Categoria Primera A,Millonarios,Junior,1x0,1,"0,5"
15.10.2023,18:30:00,Primera División,Nacional,Cerro,2x1,1,"0,5"
18.10.2023,08:30:00,China League One,Guangxi Baoyun,Dongguan United,2x0,1,"0,5"
18.10.2023,21:00:00,Primera División,Independiente,Barracas Central,3x0,1,"0,5"
20.10.2023,21:30:00,Serie A,Fluminense,Corinthians,3x3,0,"-0,5"
20.10.2023,07:30:00,K League 1,Pohang Steelers,Incheon United,1x1,0,"-0,5"
20.10.2023,15:30:00,Serie B,Parma,Como,2x1,1,"0,5"
20.10.2023,19:30:00,Division Profesional,Libertad,Sportivo Ameliano,3x0,1,"0,5"
20.10.2023,20:00:00,Liga Nacional de Fútbol de Guatemala,Comunicaciones,Antigua GFC,2x1,1,"0,5"
21.10.2023,08:00:00,2. Bundesliga,Hamburger SV,Greuther Fürth,2x0,1,"0,5"
21.10.2023,09:00:00,La Liga,Real Sociedad,RCD Mallorca,1x0,1,"0,5"
21.10.2023,09:00:00,Ukrainian Premier League,Chornomorets,Minai,3x0,1,"0,5"
21.10.2023,09:00:00,3. Liga,Dynamo Dresden,Preußen Münster,1x0,1,"0,5"
21.10.2023,11:00:00,EFL League One,Portsmouth,Carlisle United,1x0,1,"0,5"
21.10.2023,11:00:00,National League,Bromley,Oxford City,3x1,1,"0,5"
21.10.2023,11:00:00,Premyer Liqası,Sabah,Sumqayıt,3x1,1,"0,5"
21.10.2023,12:00:00,Bundesliga,Salzburg,LASK Linz,0x1,0,-1
21.10.2023,12:00:00,Bundesliga,Sturm Graz,Hartberg,2x1,1,"0,5"
21.10.2023,18:00:00,LPF,Tauro,Árabe Unido,1x3,0,-1
21.10.2023,18:00:00,Primera División,Alianza Lima,ADT,0x0,0,"-0,5"
21.10.2023,21:00:00,Serie A,Botafogo,Atlético PR,,,
22.10.2023,10:30:00,First League,Levski Sofia,Cherno More,1x0,1,"0,5"
22.10.2023,14:15:00,Eliteserien,Viking,Tromsø,3x4,0,-1
22.10.2023,17:00:00,Primera División,Sport Huancayo,Sport Boys,1x0,1,"0,5"
23.10.2023,14:30:00,National,Red Star,Cholet,2x0,1,"0,5"
24.10.2023,12:05:00,First Division,Al Bukayriyah,Al Qaisoma,1x0,1,"0,5"
24.10.2023,15:45:00,National League,Barnet,Solihull Moors,1x1,0,"-0,5"
24.10.2023,15:45:00,National League,Bromley,Dorking Wanderers,2x1,1,"0,5"
24.10.2023,16:00:00,Championship,Leicester City,Sunderland,1x0,1,"0,5"
25.10.2023,08:00:00,Armenian Premier League,Pyunik,Banants,3x1,1,"0,5"
25.10.2023,19:00:00,Serie A,Fluminense,Goiás,5x3,1,"0,5"
25.10.2023,21:00:00,Primera División,River Plate,Independiente,3x0,1,"0,5"
27.10.2023,11:30:00,Persian Gulf Pro League,Esteghlal,Aluminium Arak,1x0,1,"0,5"
27.10.2023,15:00:00,Eerste Divisie,Roda JC,Ajax II,2x1,1,"0,5"
27.10.2023,15:00:00,Eerste Divisie,Willem II,PSV II,3x0,1,"0,5"
27.10.2023,15:00:00,Professional League,Al Hilal,Al Ahli,3x1,1,"0,5"
27.10.2023,21:00:00,Primera Categoría Serie A,Libertad,Gualaceo SC,3x0,1,"0,5"
28.10.2023,01:00:00,J2 League,Shimizu S-Pulse,Roasso Kumamoto,1x3,0,-1
28.10.2023,09:00:00,Liga 1,Borneo,Dewa United,3x1,1,"0,5"
28.10.2023,11:00:00,Championship,Ipswich Town,Plymouth Argyle,3x2,1,"0,5"
28.10.2023,13:00:00,Super League,St. Gallen,Grasshopper,3x1,1,"0,5"
28.10.2023,14:30:00,Vysheyshaya Liga,Neman Grodno,Isloch,0x0,0,"-0,5"
28.10.2023,15:15:00,PrvaLiga,Maribor,Rogaška,2x1,1,"0,5"
29.10.2023,07:30:00,Esiliiga,Viimsi,Tallinna FC Levadia U21,2x0,1,"0,5"
29.10.2023,09:00:00,First Football League,Shkupi,Rabotnički,3x0,1,"0,5"
29.10.2023,10:30:00,Bundesliga,Sturm Graz,Austria Wien,0x1,0,-1
29.10.2023,11:00:00,First Division,Fredrikstad,Mjøndalen,1x2,0,-1
29.10.2023,12:00:00,Superliga,Silkeborg,OB,0x0,0,"-0,5"
29.10.2023,12:30:00,LigaPro,Santa Clara,Benfica II,1x1,0,"-0,5"
29.10.2023,14:00:00,Serie A,Inter Milan,Roma,1x0,1,"0,5"
29.10.2023,15:30:00,Super League,Aris,PAS Giannina,2x0,1,"0,5"
29.10.2023,20:00:00,Serie A,Botafogo,Cuiabá,0x1,0,-1
29.10.2023,21:00:00,Primera División,Independiente,Arsenal de Sarandí,0x0,0,"-0,5"
30.10.2023,15:30:00,Liga I,CFR Cluj,SSC Farul,3x1,1,"0,5"
31.10.2023,22:00:00,Liga MX,Toluca,Puebla,0x1,0,-1
01.11.2023,09:00:00,Superleague of Kosovo,Ballkani,Drita,1x0,1,"0,5"
02.11.2023,10:00:00,Persian Gulf Pro League,Sepahan,Malavan,2x3,0,-1
02.11.2023,12:45:00,Vysheyshaya Liga,Dinamo Minsk,BATE,0x1,0,-1
03.11.2023,10:00:00,Ligi kuu Bara,KMC,Dodoma Jiji,1x2,0,-1
03.11.2023,11:00:00,Erovnuli Liga,Saburtalo,Samtredia,0x0,0,"-0,5"
03.11.2023,21:00:00,Primera División,River Plate,Huracán,1x2,0,-1
05.11.2023,13:00:00,Eliteserien,Brann,Odd,2x1,1,"0,5"
11.11.2023,18:30:00,Primera División,Cobresal,Audax Italiano,3x4,0,-1
12.11.2023,17:30:00,Primera División,Colo-Colo,Unión La Calera,2x0,1,"0,5"
12.11.2023,20:05:00,Liga Nacional de Fútbol Profesional de Honduras,Olimpia,Marathón,5x1,1,"0,5"
15.11.2023,21:30:00,Primera División,Nacional,Danubio,1x3,0,-1
24.11.2023,16:45:00,NIFL Championship,Portadown,Newington Youth,5x1,1,"0,5"
25.11.2023,02:00:00,J1 League,Vissel Kobe,Nagoya Grampus,2x1,1,"0,5"
25.11.2023,12:00:00,EFL League Two,Wrexham,Morecambe,6x0,1,"0,5"
25.11.2023,12:00:00,Championship,Leicester City,Watford,2x0,1,"0,5"
25.11.2023,15:30:00,Liga I,CFR Cluj,UTA Arad,0x0,0,"-0,5"
25.11.2023,21:00:00,Serie A,Fluminense,Coritiba,2x1,1,"0,5"
26.11.2023,08:15:00,Eerste Divisie,Roda JC,MVV,1x0,1,"0,5"
26.11.2023,08:40:00,1. Liga,Odra Opole,Polonia Warszawa,3x0,1,"0,5"
26.11.2023,12:00:00,NPFL,Lobi Stars,Shooting Stars,2x1,1,"0,5"
26.11.2023,18:00:00,Primera División,River Plate,Instituto,0x0,0,"-0,5"
26.11.2023,18:30:00,LFPB,The Strongest,Club Always Ready,1x1,0,"-0,5"
26.11.2023,19:30:00,Primera División,Nacional,Wanderers,3x1,1,"0,5"
27.11.2023,09:00:00,Liga 1,Borneo,Persis Solo,1x0,1,"0,5"
29.11.2023,17:00:00,Championship,Ipswich Town,Millwall,3x1,1,"0,5"
01.12.2023,09:15:00,Uzbekistan Super League,Navbahor,Neftchi,1x1,0,"-0,5"
02.12.2023,12:00:00,Ukrainian Premier League,Dnipro-1,Vorskla,1x2,0,-1
02.12.2023,15:30:00,National,Red Star,Nîmes,2x0,1,"0,5"
02.12.2023,17:00:00,Primera Categoría Serie A,Libertad,Cumbayá,3x1,1,"0,5"
03.12.2023,05:00:00,Liga 1,PSIS Semarang,PSS Sleman,1x0,1,"0,5"
03.12.2023,13:00:00,Eliteserien,Viking,Rosenborg,1x5,0,-1
03.12.2023,18:00:00,Primera División,Colo-Colo,Unión Española,0x2,0,-1
04.12.2023,19:00:00,Jamaica National Premier League,Arnett Gardens,Vere United,2x0,1,"0,5"
06.12.2023,12:00:00,NPFL,Lobi Stars,Gombe United,1x0,1,"0,5"
07.12.2023,17:00:00,Primera División,Nacional,Torque,1x1,0,"-0,5"
09.12.2023,09:00:00,Liga 1,Borneo,PSIS Semarang,2x0,1,"0,5"
09.12.2023,10:00:00,First League,Cherno More,Slavia Sofia,3x0,1,"0,5"
09.12.2023,12:00:00,EFL League Two,Notts County,Walsall,1x2,0,-1
10.12.2023,09:00:00,Prva Liga,OFK Beograd,Dubočica,1x0,1,"0,5"
10.12.2023,12:30:00,3. Liga,Dynamo Dresden,Unterhaching,2x1,1,"0,5"
10.12.2023,13:00:00,Bundesliga,Sturm Graz,Rheindorf Altach,1x0,1,"0,5"
10.12.2023,17:00:00,La Liga,FC Barcelona,Girona FC,2x4,0,-1
12.12.2023,07:00:00,AFC Champions League,Ulsan,Kawasaki Frontale,2x2,0,"-0,5"
12.12.2023,17:00:00,UEFA Champions League,Inter Milan,Real Sociedad,0x0,0,"-0,5"
15.12.2023,09:00:00,Ethiopia Premier League,Fasil Ketema,Hadiya Hosaena,1x2,0,-1
15.12.2023,16:00:00,Eerste Divisie,Willem II,Helmond Sport,4x1,1,"0,5"
16.12.2023,09:30:00,Championship,Ipswich Town,Norwich City,2x2,0,"-0,5"
16.12.2023,10:00:00,Serie B,Venezia,Südtirol,2x3,0,-1
17.12.2023,09:00:00,Superleague of Kosovo,Ballkani,Prishtina,0x0,0,"-0,5"
17.12.2023,12:00:00,NPFL,Lobi Stars,Doma United,2x1,1,"0,5"
20.12.2023,12:00,Super League,Aris,Lamia,2x2,0,"-0,5"
23.12.2023,10:00,Serie B,Parma,Ternana,3x1,1,"0,5"
23.12.2023,10:00,Serie B,Venezia,Lecco,2x2,0,"-0,5"
23.12.2023,12:00,National League,Chesterfield,Aldershot Town,4x1,1,"0,5"
26.12.2023,12:00,NIFL Premiership,Linfield,Glentoran,2x0,1,"0,5"
30.12.2023,12:00,League One,Falkirk,Stirling Albion,5x0,1,"0,5"
30.12.2023,12:00,Premier League,Aston Villa,Burnley,3x2,1,"0,5"
01.01.2024,12:00,Championship,Leicester City,Huddersfield Town,4x1,1,"0,5"
01.01.2024,12:00,National League,Chesterfield,Solihull Moors,3x2,1,"0,5"
02.01.2024,12:00,Premiership,Rangers,Kilmarnock,3x1,1,"0,5"
03.01.2024,15:00,Super League,PAOK,OFI,4x0,1,"0,5"
05.01.2024,15:45,Liga NOS,Sporting CP,GD Estoril Praia,5x1,1,"0,5"
06.01.2024,12:00,League One,Falkirk,Queen of the South,1x0,1,"0,5"
07.01.2024,13:00,Süper Lig,Galatasaray,Konyaspor,3x0,1,"0,5"
09.01.2024,16:45,League One,Falkirk,Cove Rangers,4x0,1,"0,5"
10.01.2024,14:00,Süper Lig,Adana Demirspor,İstanbulspor,2x2,0,"-0,5"
13.01.2024,12:00,EFL League One,Blackpool,Exeter City,2x0,1,"0,5"
13.01.2024,12:00,Championship,Raith Rovers,Queen's Park,1x2,0,-1
15.01.2024,14:00,Süper Lig,Galatasaray,Kayserispor,2x1,1,"0,5"
16.01.2024,16:45,National League,Chesterfield,Altrincham,2x1,1,"0,5"
20.01.2024,12:00,League Two,Stenhousemuir,Stranraer,1x0,1,"0,5"
21.01.2024,15:30,Israeli Premier League,Maccabi Haifa,Maccabi Netanya,4x0,1,"0,5"
23.01.2024,16:45,National League,Chesterfield,Woking,1x0,1,"0,5"
